Title     : 锟斤拷�⊠是怎样炼成的——中文显示「⼊」门指南【柴知道】
Video ID  : zSstXi-j7Qc
URL       : https://www.youtube.com/watch?v=zSstXi-j7Qc
Language  : Chinese (zh)
Generated : No (manually created)
[05:02.32]  在 2009 年
[05:03.80]  广州番禹的一个村子
[05:05.37]  就因为村名中有一个
[05:06.40]  电脑打不出来的生僻字
[05:08.17]  不得已更名
[05:09.22]  这才为全村村民办下来了
[05:10.95]  第二代居民身份证
[05:12.95]  而在今天
[05:13.90]  更新的字符集已经包含了这些生僻字
[05:16.65]  但虽然能打出来
[05:17.85]  却也经常显得孤寡
[05:19.60]  因为绝大多数简体汉字字体
[05:21.60]  都还是只适配了 GB 2312 中的
[05:23.80]  这六千多个常用汉字
[05:25.75]  比如最常见的公文字体之一
[05:27.57]  仿宋 GB2312
[05:29.35]  意思就是说我只设计了
[05:30.75]  GB 2312 字符集中的字符
[05:32.92]  那如果你的名字生僻一点
[05:34.77]  不在这个字符集中
[05:36.12]  那么计算机要么调用其他字体来显示
[05:38.57]  要么直接给你显示成个框框
[05:40.55]  总之就是显得格格不入
[05:42.82]  这还不算完
[05:44.30]  因为汉字有简体 有繁体
[05:46.30]  而且虽然起源于中国
[05:47.80]  但远不止中国一家用
[05:49.55]  日本用日本汉字
[05:50.75]  韩国用朝鲜汉字
[05:52.35]  大家都搞出了自己的字符集和编码规则
[05:55.10]  都优先考虑本地人使用方便
[05:57.05]  相互之间的兼容性很差
[05:59.42]  后来微软被逼急了
[06:00.95]  就根据各地字符集和字符编码
[06:03.02]  自己扩展了 GB 2312 字符集
[06:05.32]  加入了一些繁体汉字
[06:07.12]  这份扩展的字符集
[06:08.05]  后来成为了汉字内码扩展规范 GBK
[06:11.65]  这里的 K 就是扩展的意思
[06:13.90]  不过 GBK 并不是国家标准
[06:15.95]  只是一个普通的技术规范
[06:17.65]  这种缝缝补补又三年的打补丁操作
[06:20.30]  又成为了后续一大堆乱码的来源之一
