Title     : 瘦到40斤，厌食症患者真不饿吗？男的也有进食障碍？【柴知道】
[05:41.17]  这其中当然可能有
[05:42.45]  男性检出率比较低的原因
[05:44.69]  但无论如何
[05:45.65]  女性发病率更高都是肯定的
[05:47.95]  具体原因 你心里的答案就是对的
[05:51.89]  现代社会的审美要求女性要瘦
[05:53.92]  要纤弱 要穿得下 “童装”
[05:56.28]  而社会对男性的要求则是强壮
[05:59.04]  所以 有些男性会得另一种
[06:01.34]  特别的进食障碍
[06:02.75]  叫 “反厌食症”
[06:04.35]  或者 “肌肉上瘾症”
[06:06.36]  跟厌食症类似
[06:07.64]  肌肉上瘾症的男性患者
[06:09.24]  会不断地反刍
[06:10.33]  “我要更强壮” 的想法
[06:12.31]  他们同样斤斤计较每一份热量
[06:14.56]  甚至使用类固醇等药物增肌
[06:16.86]  同时还承担着
[06:18.01]  对自己身材自卑的心理痛苦
[06:20.76]  外在的表现形式就是
[06:22.24]  其实他们的身材已经足够高大
[06:24.41]  肌肉非常强壮了
[06:25.95]  却还觉得自己是一只
[06:27.29]  瘦弱的 “细狗”
[06:28.70]  承受着焦虑和压力 不敢社交
[06:31.64]  这同样属于一种
[06:32.73]  臆想自己体貌缺陷的 “体象障碍”
[06:35.61]  所以无论是哪种进食障碍
[06:37.47]  在很大程度上都跟
[06:38.90]  观念 社会文化息息相关
[06:41.75]  在社会的鼓励下
[06:43.04]  总会有不幸的易感人群
[06:44.51]  迈出减重或者增重的第一步
[06:46.94]  直至发展为难以解决的进食障碍
[06:49.95]  另外 压垮很多厌食症患者的
[06:51.77]  最后一根稻草
[06:53.15]  可能是精神压力过大
[06:55.38]  很多患者都是在父母离婚
[06:57.17]  学习压力大 求学离家
[06:58.83]  失恋等特殊节点上开始厌食的
[07:03.91]  至于治疗方法
[07:05.12]  没有人长得像芭比
[07:06.79]  建立对身材和饮食的正确认识
[07:09.16]  就是最好的预防方法
[07:11.48]  如果你怀疑自己或者身边的人
[07:13.40]  有进食障碍倾向
[07:14.88]  那就尽早向内科或精神科求助
[07:17.37]  尽早干预 避免陷入无底循环
[07:20.12]  关注我们 并在后台回复 “厌食症”
[07:22.68]  就能获得关于进食障碍的
[07:24.14]  自我评价问卷
[07:25.72]  这个问卷不能代替专家的诊断
[07:28.02]  但是希望能帮助你更好了解自己
[07:30.83]  希望所有在视频前的你
[07:32.50]  都能吃嘛嘛香
[07:34.03]  无论男女 普通且自信
[07:35.95]  也许是最幸福的生活态度
