Title     : 听个歌为什么要外接“小尾巴”？真的能让音乐更好听吗？【柴知道】
[05:02.18]  专业的高阻抗设备
[05:04.74]  讲到这里
[05:05.63]  老哥的这一大坨设备是什么
[05:07.36]  我们就大概搞清楚了
[05:09.22]  大哥要有能听无损音乐的设备
[05:11.39]  还要有 DAC 放大器
[05:13.12]  再连上一个巨大的 HiFi 耳机
[05:15.49]  这当然就得带个包装了
[05:17.92]  当然 也不是所有玩家
[05:19.78]  都得随身带个包
[05:21.18]  如今很多厂商研发了
[05:22.66]  专供手机的“小尾巴”
[05:24.45]  其实就是集成了一个
[05:25.60]  便携的 DAC 和放大器
[05:27.58]  好对得起手机里的无损音乐
[05:29.76]  推得动昂贵的 HiFi 耳机
[05:32.51]  可以说
[05:33.28]  DAC 解码器和放大器的工作
[05:35.71]  都很纯粹
[05:36.86]  可以用非常纯粹的声学知识来解释
[05:39.49]  无论是玩耳机 还是音箱
[05:41.54]  原理都是一样的
[05:43.52]  原理好解释
[05:44.61]  但它们真的能让音乐更好听吗
[05:48.00]  从严格意义上来讲
[05:49.41]  HiFi 追求的就是高保真
[05:51.71]  也就是尽可能展现声音本来的样子
[05:54.78]  但保真 不等于好听
[05:57.34]  所以许多 DAC 和放大器
[05:59.07]  除了干好自己的本职工作以外
[06:01.57]  通常还会对音频
[06:02.78]  进行一定的加工和修饰
[06:05.28]  有些还可以自己按喜好调节
[06:07.33]  你可以把它理解为
[06:08.42]  声音的滤镜
[06:09.95]  许多“老烧”之所以会说
[06:11.49]  不同的设备有不同的音乐感受时
[06:13.98]  就和它们本身的调音有关
[06:16.48]  但肯定还是还有人会想
[06:18.53]  道理我都懂
[06:19.49]  但这么细微的区别
[06:21.34]  他们真的能听出来吗
[06:23.39]  肯定有人能听出来
[06:24.93]  但肯定不是所有人都能听出来
[06:27.62]  但就算听不出来
[06:28.90]  心理暗示也会让人觉得
[06:30.56]  更贵的音乐更好听
[06:32.93]  如果你想试试自己的水平
[06:34.60]  那可以考虑用 How to Listen 软件
