Title     : 撞豪车、被水淹、化粪池炸飞……遭遇奇葩事故，车险管用吗？【柴知道：车圈化简】
[05:16.57]  如今其实都包含在车损险里了
[05:19.00]  一险全包
[05:20.77]  不过 这些都属于找不到凶手
[05:22.90]  或者凶手是自己的情况
[05:25.00]  但如果凶手另有其人呢
[05:27.57]  来 再听一题
[05:29.50]  假如大过年的
[05:30.37]  一个小屁孩把鞭炮扔进下了水道
[05:32.73]  引爆了化粪池 把停在附近的
[05:34.97]  林肯 奥迪 保时捷 雷克萨斯全都炸翻了
[05:37.80]  而你的车恰好也在其中
[05:40.10]  这时车险会赔吗
[05:43.17]  答案是不赔
[05:45.13]  因为错不在你 谁的责任谁来赔
[05:48.17]  但如果你保了车损
[05:49.40]  就可以让保险公司先垫钱
[05:51.83]  事故发生后 保险公司的估损师
[05:54.00]  会根据现场查勘情况
[05:55.73]  和车辆具体受损情况
[05:57.60]  确定一个估损金额
[05:59.10]  然后替你找责任方赔偿
[06:01.10]  这叫代位追偿
[06:02.97]  不管责任方跑了还是耍赖皮
[06:05.03]  都不需要你来买单
[06:07.10]  像是新闻里被化粪池炸翻的这几辆车
[06:09.63]  估损价格在 4 - 10 万元之间
[06:12.20]  这笔钱理论上
[06:13.33]  应该让熊孩子家长和物业来掏
[06:16.23]  至于怎么让他们掏钱
[06:17.80]  让保险公司头疼就行 跟你无关
[06:21.30]  到这里 我们终于做完了所有大题
[06:24.20]  搞清楚了最重要的四个险种
[06:26.73]  最后剩的就是附加题了
[06:28.93]  如果你买过商业险
[06:30.00]  会发现报价单里还有一连串
[06:32.33]  应对更特殊情况的附加险种
[06:34.93]  比如停在天屎路
[06:36.37]  车漆被腐蚀到就像文身了
[06:38.40]  一个急刹车 一车鸡蛋碎了
[06:40.33]  车辆自燃烧坏充电桩
[06:42.03]  压上异物爆胎了
[06:43.37]  都有对应险种
[06:45.03]  这些五花八门的附加险种
[06:47.17]  优先级相对较低
[06:48.80]  买不买就看你自己的实际需求了
[06:51.63]  另外更需要注意的是
[06:53.03]  根据投保的是油车还是电车
[06:55.70]  车损险和附加险也分两版
[06:58.20]  它们能保的险种不同
[06:59.97]  但最主要的区别是价格
[07:02.40]  比如同样是 20 万的车
[07:03.93]  电车的保费能比油车贵 1000 左右
[07:06.97]  这不单是因为电车维修成本高
[07:08.97]  也是因为电车的维修市场还不成熟
[07:11.83]  保险公司难以准确评估风险
[07:14.33]  同样的事故
[07:15.13]  油车很快就能知道怎么修 要多少钱
[07:17.90]  但电车就要具体问题具体分析
[07:20.57]  赔付流程和成本往往更高
[07:23.17]  而且 一款车的保费是多少
[07:24.97]  不光看车的质量 也得看开车的人
[07:28.13]  很多电车的的主要用户
[07:29.40]  是刚拿驾照的新手
[07:31.13]  驾龄不长的年轻人
[07:32.43]  或者每天开 16 小时的网约车司机
[07:35.23]  那这款车的事故率自然也就更高
[07:37.83]  保费也连带着变高了
[07:39.97]  这也是你买车时需要注意的一个点
[07:42.70]  最后
[07:43.33]  我们把视频里讲到的所有车险险种
[07:45.93]  都总结在了这里
[07:47.37]  你可以截图保存 也欢迎你转发收藏
[07:50.30]  日后上车险的时候对照看看
[07:53.49]  但车险这个东西呢 存在一个悖论
[07:56.16]  就是你每年出险越多 车险买的就越值
[07:59.76]  但来年的保费也越贵 车险就越不值
[08:03.16]  而且 因为各家公司的
[08:04.19]  出险记录是互通的
[08:05.52]  一家涨价 其他家也会跟着涨
[08:07.76]  甚至可能直接拒保
[08:09.52]  如果没保险 还出了事故
[08:11.23]  那就亏大发了
[08:12.46]  所以 很多老司机在遭遇小擦小碰时
[08:15.06]  宁愿自己掏钱修车 也不出险
[08:17.66]  就是为了万一遇上大事故
[08:19.36]  车险能帮你挡灾 救你于水火
[08:22.66]  最后我们由衷地希望
[08:24.52]  屏幕前买过或未来要买车险的朋友
[08:27.62]  花在车险上的钱 全都浪费掉
[08:29.96]  车险永远用不上 每年都花“冤枉钱”
[08:33.23]  下期见
[08:35.23]  听说最近车险涨价了啊
[08:37.62]  我的没涨啊
[08:38.62]  你的多少钱
[08:39.89]  一年几十块吧
[08:41.16]  我们有钱人差这点钱
[08:44.06]  这么便宜
[08:46.96]  不是 你共享单车还有车险呢
