Title     : 医保怎么用最省钱？2023最清晰实用医保指南，适配全国！【柴知道】
Video ID  : USPEabsWr7M
URL       : https://www.youtube.com/watch?v=USPEabsWr7M
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 515
Saved at  : 2026-06-05 13:44:49
------------------------------------------------------------

[05:08.02]  但住院不一样
[05:09.40]  大部分城市的住院起付线
[05:11.37]  是按次累计的
[05:13.00]  所以住院起付线 100 块的意思是
[05:15.70]  每次住院的前 100 块钱都不报销
[05:18.62]  每次都要从第 101 块开始才报销
[05:22.15]  这里说一下
[05:23.07]  其实起付线的政策
[05:24.60]  各地也不太一样
[05:25.82]  大部分地区是两段式
[05:27.77]  也就是用个人账户或者现金
[05:29.77]  交起付线之前的部分
[05:31.50]  起付线之后的部分
[05:32.57]  由医保统筹基金按比例报销
[05:35.07]  但上海 杭州这些地方则是三段式
[05:37.87]  计算方式更复杂
[05:39.52]  具体全国各地的医保报销规则
[05:41.77]  我们会在视频最后列一个文档给你
[05:44.10]  有兴趣的话你可以看看
[05:46.67]  但其实啊 你不看也行
[05:49.10]  因为你去看病
[05:50.10]  反正都要根据医生的判断
[05:51.67]  来做检查 开药
[05:53.00]  那么能报销多少就是确定的了
[05:55.25]  大部分情况下
[05:56.27]  你结账时候付的钱
[05:57.92]  已经是报销过后的结果了
[06:00.00]  你不用管哪些药能报销
[06:01.67]  具体报销比例是怎么算的
[06:03.62]  那么真正需要你注意
[06:05.20]  能由你决定的是什么呢
[06:08.25]  是去哪些医院看病
[06:09.85]  能报销的更多
[06:12.45]  我们以北京为例 你看这两张图
[06:15.10]  是居民医保和职工医保
[06:17.05]  分别可以报销的比例
[06:18.62]  整个分类非常复杂
[06:20.17]  但重点只有两个
[06:21.87]  首先 住院的报销比例
[06:23.92]  比门诊更高
[06:25.40]  其次更重要的是
[06:27.12]  小医院的报销比例
[06:28.47]  比大医院更高
[06:30.32]  这两个原则 全国通用
[06:32.77]  看门诊还是住院
[06:34.00]  不是我们能决定的
[06:35.42]  需要医生来根据实际病情判断
[06:37.90]  但去小医院还是大医院
[06:40.10]  是你自己能决定的呀
[06:42.30]  为什么去小医院
[06:43.60]  报销比例更高呢
[06:45.10]  这个道理其实很好理解
[06:47.15]  医保的大名
[06:48.12]  叫基本医疗保险
[06:49.82]  它不是针对谁
[06:50.97]  而是要让在座的各位
[06:52.55]  全都有基本的医疗保障
[06:55.02]  为了照顾到这么多人
[06:56.40]  医保系统当然会倾向于
[06:57.90]  让大家去小医院看小病
[07:00.20]  小医院解决不了的 再去大医院
[07:02.92]  如果所有人一有个头疼脑热
[07:04.75]  就去三甲大医院
[07:05.75]  那不就挤爆了吗
[07:07.60]  另外 这里还要补充一下
[07:09.70]  如果你们城市的医保规定里
[07:11.87]  几种不同级别医院的
[07:13.32]  起付线是一样的
[07:15.05]  那么在这些医院花的钱
[07:16.57]  就可以在一起累计起付线
[07:18.87]  但是如果起付线不一样
[07:20.97]  那即便你在这一档医院花过钱
[07:23.32]  那到另一档医院之后
[07:24.52]  也要从头开始计算起付线
[07:27.55]  但请注意 我们说的起付线
[07:29.62]  报销 大医院小医院等等
[07:31.60]  都建立在一个基础之上
[07:33.62]  就是你得去医保定点医院
[07:36.62]  所以下一个重要的问题就是
[07:38.22]  如何选自己的医保定点医院
[07:41.75]  首先 什么是医保定点医院
[07:44.35]  这个定点医院
[07:45.45]  不是指一个城市里
[07:46.75]  那几十上百家和医保联网的
[07:48.90]  医保定点医院
[07:50.30]  而说的是在北京 广州 深圳等地
[07:53.17]  需要你个人在这
[07:54.75]  几十上百家定点医院中
[07:56.75]  单独再选择几所医院签约
[07:59.22]  作为你自己专属的定点医疗机构
[08:02.37]  如果你去自己选的定点医院看病
[08:04.97]  达到起付线就能享受医保报销
[08:08.17]  刚才已经说了 去小医院看病
[08:10.57]  报销的钱更多
[08:12.30]  所以在选择自己的
[08:13.57]  医保定点医院的时候
[08:15.00]  我们的建议是
[08:16.10]  不要全选知名的大医院
[08:18.40]  而是要选小医院和大医院的组合
[08:21.87]  还有一些城市
[08:22.95]  会有一些不需要单独签约
[08:24.85]  也会给你走医保报销医院
[08:27.20]  比如北京全市的专科医院
[08:29.10]  和这些大医院
[08:30.07]  都不需要你单独签约
[08:31.72]  但这些医院实在人太多了
[08:33.70]  能挂到号就算成功了
[08:35.82]  这比我上个月抢五月天门票还难啊
[08:40.30]  为了讲得更清楚一点
[08:41.87]  我们以北京为例 假设一个场景
[08:44.62]  今天生病了要去医院
[08:46.77]  此前我选过四家医保定点医院
[08:49.22]  除此之外 北京还有一些
[08:50.92]  专科医院和大医院
[08:52.00]  是不需要选也可以报销的
[08:54.07]  那假如今天我去这些医院看病
[08:56.60]  就有机会享受医保报销
[08:58.85]  但如果我随便去了一家其他的医院
[09:01.40]  那么对不起 不管我花了多少钱
[09:03.77]  都没人给我报销
[09:05.22]  而且 我花的这个钱
[09:07.17]  还不能用于积累起付线
[09:09.25]  以后去定点医院看病
[09:10.80]  起付线还得从头开始攒
[09:12.90]  不过 急诊除外啊
[09:14.72]  那有些朋友听到这里可能在想
[09:16.75]  啊我之前定点医院都是随便选的
[09:19.05]  都不记得是哪些了
[09:20.87]  其实如果你想更换定点医院
[09:23.05]  那直接去所在城市的社保局官网
[09:25.42]  或者用小程序就能网上办理
[09:27.70]  而且像北京等一些地方
[09:29.32]  是你今天申请
[09:30.60]  明天就能生效的
[09:31.90]  所以也不用太担心
[09:33.65]  而且还有很多城市
[09:35.30]  比如上海 杭州 南京 苏州等
[09:37.80]  不要求你选择自己的定点医院
[09:40.20]  只要是去城市的定点医院看病
[09:42.32]  那通通都能报销
[09:44.22]  但还是强调一下
[09:45.60]  不管需不需要选定点医院
[09:47.60]  去小医院都更容易达到起付线
[09:50.45]  而且达到之后 报销比例还更高
[09:53.25]  甚至有些城市
[09:54.55]  普通门诊是只有小医院才能报销
[09:57.55]  而且如果你还需要住院
[09:59.67]  那不同级别的医院
[10:00.80]  报销差距就更大了
[10:02.72]  如果小医院真的诊治不了
[10:04.67]  那从小医院转诊到大医院
[10:06.80]  也会提高报销比例
[10:08.47]  说到转诊 这里我们要
[10:10.00]  专门给学生朋友们提个醒
[10:12.20]  我们的观众里应该有很多大学生
[10:14.42]  刚才说过 学生也有居民医保
[10:16.90]  不过是定制的青春版居民医保
[10:20.20]  大学生医保
[10:21.02]  跟其他普通居民医保的区别是
[10:23.15]  你的定点医院
[10:24.25]  就是你们学校的校医院
[10:26.35]  我们查了好些学校
[10:27.95]  基本都是如果要去外面看病
[10:30.37]  那么必须从校医院转诊出去
[10:33.07]  才可以报销
[10:34.10]  你自己直接出去看病是报不了的
[10:36.65]  观众里有没有中小学生朋友
[10:38.75]  有的话扣个1
[10:39.87]  装嫩的话扣个0
[10:41.57]  中小学生医保的定制之处
[10:43.72]  是它和成年人的保费不同
[10:45.90]  在交学费的时候
[10:46.72]  就等于是交过医保钱了
[10:48.52]  此处还要提醒一下
[10:50.67]  小朋友们 别偷偷刷视频了
[10:52.60]  今天的作业写完了吗
[10:58.35]  讲到这里之后
[10:59.57]  大部分人最大限度地
