Title     : 别再问我什么是AI：10分钟速通AI黑话，这次终于能看懂AI新闻了【柴知道】
Video ID  : G4rBAWNYNsQ
URL       : https://www.youtube.com/watch?v=G4rBAWNYNsQ
Language  : Chinese (zh)
Generated : No (manually created)
[04:23.28]  一定是大家都能理解的
[04:25.32]  大模型的制造的第一步
[04:26.80]  是利用海量的互联网数据
[04:28.68]  做 Pre-training “预训练”
[04:30.88]  这是为了让大模型
[04:32.00]  掌握人类世界各种知识和语言规律
[04:34.72]  打造出一个“基座模型”
[04:36.88]  过程很简单
[04:37.88]  就是让它爬遍互联网
[04:39.52]  把各位夙兴夜寐辛苦创作的
[04:42.16]  饱含人类智慧的知识精华
[04:44.04]  作为数据集
[04:44.88]  认真学习
[04:46.24]  并通过一种叫“反向传播”的方法
[04:48.60]  让大模型自己调整参数
[04:50.68]  这是什么意思呢
[04:52.20]  你看
[04:52.88]  当我们把这串 token 输入到模型时
[04:55.64]  模型里会经过一顿计算
[04:57.40]  输出一个结果
[04:58.36]  这叫“前向传播”
[05:00.08]  但初始的预测结果往往不尽人意
[05:02.36]  我们训练的目标
[05:03.48]  是让大模型输出“枣树”
[05:05.68]  那就要把错误回答跟目标对比
[05:07.56]  看看差了多少
[05:08.76]  这一步就是计算“损失”（loss）
[05:11.28]  通过计算损失
[05:12.24]  模型可以反向找到
[05:13.64]  在整个传播过程中
[05:15.36]  到底是哪些步骤出了问题
[05:17.12]  然后调整它们对应的参数
[05:19.36]  如此循环往复
[05:20.52]  逐步调整
[05:21.44]  直到输出结果逼近目标
[05:23.96]  这就是“反向传播”
[05:26.08]  由于在预训练的时候
[05:27.36]  大模型要学习的内容太多
[05:29.08]  数据量很大
[05:30.24]  靠人力梳理根本干不过来
[05:32.48]  所以目前预训练
[05:33.76]  主要都用“自监督学习”
[05:35.60]  就是人类躺平了
[05:36.88]  让大模型自己去看数据
[05:38.40]  计算损失
[05:39.04]  调整参数
[05:39.88]  自己调教自己
[05:41.56]  预训练是大模型训练中最耗时
[05:43.80]  耗算力的阶段
[05:44.72]  往往需要几个月甚至几年
[05:47.16]  买天量的显卡
[05:48.40]  所以让黄仁勋
[05:49.44]  成为了 AI 的最大赢家
[05:51.32]  预训练完成后
[05:52.24]  我们就能得到一个 Base Model
[05:54.16]  “基座模型”
[05:55.32]  你可以把它理解为一个
[05:56.44]  “互联网模拟器”
[05:57.64]  或者一个学会了
[05:58.76]  人类世界知识的“通用大脑”
[06:01.04]  无论你输入什么
[06:02.08]  它都能续出合适的 Token
[06:04.76]  不过
[06:05.32]  基座模型一般不能直接用
[06:07.72]  为了把它从“通用大脑”
[06:09.16]  变成一个有特定功能的“打工人”
[06:11.40]  我们还需要给它做 Post training
[06:13.80]  “后训练”
[06:15.32]  你可能听说过所谓的 fine tuning
[06:17.16]  “微调”
[06:17.76]  它就是后训练时完成的
[06:19.48]  目前最常用的是方法“监督微调”
[06:22.04]  SFT（Supervised Fine-Tuning）
[06:23.32]  所谓的“监督”
[06:24.56]  就是说要给 AI 提供带标注的数据集
[06:27.56]  让它模仿标注数据的风格来生成内容
[06:30.52]  比方说要把它做成
[06:31.64]  我们最常用的各类“对话助手”
[06:33.68]  那就要给基座模型提供对话数据集
[06:37.16]  听起来又是一项大工程
[06:38.64]  但此时所需要的数据集大小
[06:40.64]  和训练时长
[06:41.68]  其实远远小于预训练阶段
[06:44.08]  比如开源对话数据集 
[06:45.32]  OpenAssistant 里
[06:46.64]  一共包含 16 万条出头的对话信息
[06:49.08]  中文对话数据只有不到 5000 条
[06:51.24]  但已经足够把基座模型
[06:53.16]  变成一个合格的对话助手了
[06:55.32]  如果我们细看一下这个对话数据集
[06:57.44]  就会发现其中的对话讲文明
[06:59.80]  懂礼貌
[07:00.68]  绝对不是你在如今互联网评论区里
[07:02.88]  能看到的东西
[07:04.56]  也就是说啊
[07:05.36]  监督微调用的这些带标注的数据
[07:07.72]  都需要真人编写
[07:09.08]  或者真人借助 AI 来编写
[07:11.28]  所以监督微调时
[07:12.28]  需要用到很多真人
[07:13.68]  作为“数据标注员”
[07:15.52]  这也算是 AI 给我们活人
[07:17.28]  提供了一些工作机会了
[07:19.16]  比如 OpenAI 曾在这篇论文里提到
[07:21.16]  他们在 instruct-GPT 项目中
[07:23.04]  招聘了 40 名数据标注员
[07:25.28]  你也能在招聘网站上
[07:26.56]  找到很多“数据标注员”的岗位
[07:28.80]  虽然其中很多是枯燥的重复劳动
[07:31.16]  但它的好处一是门槛相对不高
[07:34.28]  二是等 AI 占领世界奴役人类后
[07:37.28]  说不定可以凭借这份工作经历
[07:39.32]  向硅基生物投诚
[07:40.92]  当碳奸
[07:42.52]  不管你是想把 AI 打造成对话助手
[07:44.76]  还是医学专家
[07:46.00]  法律专家等等
[07:47.16]  都要在微调时
[07:48.24]  给他们喂相应的数据
[07:50.04]  当然
[07:50.60]  不是所有人的需求都这么实用
[07:52.68]  高雅
[07:53.72]  在 HuggingFace 等大模型社区上
[07:55.48]  你时常能找到有人拿一个基座大模型
[07:58.16]  给它喂不堪入目的数据做微调
[08:00.44]  打造出上不了台面的专家
[08:02.32]  女友
[08:03.56]  比如几个月前
[08:04.48]  就有一个全站下载第一的模型
[08:06.52]  叫 deepsex......
[08:07.72]  这段不能播不能播
[08:08.84]  掐了掐了
[08:11.52]  言归正传
[08:12.52]   在完成监督微调后
[08:14.36]  我们就可以得到
[08:15.12]  一个基本可用的大模型了
[08:17.28]  但如果到此为止的话
[08:18.60]  大模型也不过是一个没有灵魂
[08:20.76]  只会四处搬运
[08:21.80]  鹦鹉学舌的复读机罢了
