Title     : 啊？胶片还能刻声音？！你绝对想不到的录制技巧！【柴知道】
Video ID  : H5-v27Hq35U
URL       : https://www.youtube.com/watch?v=H5-v27Hq35U
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 172
Saved at  : 2026-06-05 13:38:14
------------------------------------------------------------

[05:14.40]  以及只能用夸张的肢体动作和表情
[05:16.93]  传达信息的演员们
[05:18.53]  曾给观众们带来了无数欢乐
[05:22.57]  而随着“片上录音”等有声电影技术的成熟
[05:25.83]  到了 1930 年代
[05:27.07]  好莱坞宣布不再制作默片
[05:29.97]  新的时代已经到来
[05:31.53]  它不再需要旧的人
[05:34.60]  跟着默片一起下岗的
[05:36.00]  还有这些乐手和演员
[05:38.17]  随着电影形式的变化
[05:39.77]  默片时代的表演技术显得无用而滑稽
[05:43.57]  辉煌落幕
[05:44.57]  几乎没有人记得他们的名字
[05:47.33]  就像默片和有声电影的交接一样
[05:49.73]  技术的进步终将会席卷每一个人
[05:52.77]  站在旧时代的余晖里
[05:54.40]  有人欢笑 有人落寞
[05:56.60]  但没关系 我的朋友
[05:58.53]  至少你曾经闪烁过
