Title     : 麋鹿测试≠操控！为什么新能源车把“麋鹿测试”玩坏了？【柴知道：车圈化简】
Video ID  : U0PK_3_NIbI
URL       : https://www.youtube.com/watch?v=U0PK_3_NIbI
Language  : Chinese (zh)
Generated : No (manually created)
[04:20.56]  自动就把车减到龟速
[04:22.36]  生怕擦着撞着
[04:23.56]  防范于未然
[04:25.16]  而在整个麋鹿测试过程中
[04:26.88]  最容易翻车的位置
[04:28.16]  一般在第三段
[04:29.96]  这里距离进桩测速点
[04:31.08]  有大约 30m 的距离
[04:32.48]  足够让一辆带 ESP 
[04:33.96]  和动能回收的电车
[04:35.68]  把速度减到一个
[04:36.72]  能轻松走 S 弯的程度
[04:39.00]  甚至对很多制动效果好的车来说
[04:41.48]  30m 的距离
[04:42.40]  都快够完成一套百公里制动刹停了
[04:45.80]  这也是为什么很多新能源车
[04:47.40]  在麋鹿测试中
[04:48.48]  进桩时跑得飞快
[04:50.00]  开出来时
[04:50.65]  却慢慢悠悠的原因
[04:52.35]  因为出桩的速度
[04:53.60]  压根就不考
[04:55.32]  但问题是
[04:56.72]  “麋鹿测试”
[04:57.48]  原本是通过测试
[04:58.80]  “高速躲闪能力”
[05:00.08]  来反应车辆底盘素质
[05:01.44]  和操控性的
[05:02.80]  而电车入局之后
[05:04.12]  却变成了一套考验
[05:05.64]  “快速减速能力”的测试
[05:07.88]  虽然都能反映避障表现
[05:09.40]  但背后的“考点”
[05:10.72]  却完全变了
[05:12.32]  对于很多电车来说
[05:13.68]  “麋鹿测试”
[05:14.20]  反映的不再是
[05:15.16]  底盘素质和操控性
[05:16.80]  而是动能回收强度
[05:18.12]  和 ESP 的介入效果
[05:19.92]  它只能说明这辆车
[05:21.04]  在遇到紧急情况时
[05:22.56]  确实刹得快
[05:23.88]  当然了
[05:24.56]  这也算是一个优势
[05:25.88]  但确实跟
[05:26.72]  底盘素质和操控性的关系不大
[05:29.64]  至于在高速状态下
[05:31.08]  猛打方向盘
[05:32.04]  操控性好不好
[05:32.88]  容不容易翻车
[05:34.16]  那麋鹿测试
[05:35.08]  还真不一定能测出来
[05:36.96]  而且实际上
[05:37.80]  就算是油车的麋鹿测试成绩
[05:39.88]  也不能直接拿来比较
[05:41.84]  “麋鹿测试”的国际测试标准上
[05:43.80]  清清楚楚地写着
[05:45.44]  受驾驶员的影响
[05:46.68]  麋鹿测试只是一套主观评估方法
[05:49.40]  不能作为客观评价体系
[05:51.48]  比如我之前就参与过一次
[05:52.76]  车厂模拟麋鹿测试的媒体活动
[05:54.64]  我用 70 的速度进弯
[05:56.00]  就已经把桩全撞翻了
[05:57.76]  但专业的试车员开到 80 多
[05:59.64]  也不会碰到桶
[06:01.24]  这不是车的问题
[06:02.48]  是我的问题
[06:04.04]  而且除了驾驶员外
[06:05.20]  其他各种因素
[06:06.24]  也都会影响测试的最终成绩
[06:08.48]  正如测试标准上写的那样
[06:10.40]  不允许根据麋鹿测试的速度做排名
[06:12.96]  也不应该设置
[06:14.12]  最低“分数线”
[06:15.56]  所以如今拿它做出来的
[06:17.24]  各种各样的榜单
[06:18.56]  既不能说明车辆底盘的素质和操控性
[06:21.24]  也不能用来严格地比较
[06:22.79]  不同车的避障水平高低
[06:24.64]  它最大的意义
[06:25.68]  可能就是让车企和媒体
[06:27.28]  多个宣传的噱头
[06:28.40]  让一辆车看起来更值得买
[06:30.38]  最顶尖的水准
[06:31.58]  达到跑车级别的水平
[06:32.84]  每小时
[06:33.56]  全球第一
[06:34.48]  当然
[06:35.12]  如果您润到了北欧北美
[06:36.96]  或者日本奈良
[06:38.00]  终日与鹿为伴
[06:39.24]  那还是建议你
[06:40.16]  买辆麋鹿测试成绩好的车
[06:42.64]  虽然底盘可能不一定多好
[06:44.32]  但能躲鹿的本事肯定是有一些的
[06:47.24]  毕竟
[06:48.52]  来来来
[06:49.12]  你来感受一下
[06:50.32]  一头身高两米
[06:51.52]  体长三米
[06:52.48]  体重近一吨
[06:53.44]  的庞然大物
[06:54.72]  以 80km/h 的相对速度
[06:56.28]  从路边蹿出
[06:57.24]  然后用一双大角
[06:58.36]  顶开前挡风玻璃
[06:59.88]  跟你亲密接触时的场景
[07:03.28]  这要是躲不开
[07:04.40]  可能连安全气囊都救不了你
