Title     : AI 暴击搜索引擎：我活不活无所谓，我只要你死【柴知道】
Video ID  : xe-MWx7vE2k
URL       : https://www.youtube.com/watch?v=xe-MWx7vE2k
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 299
Saved at  : 2026-06-05 13:33:55
------------------------------------------------------------

[04:40.23]  看到 AI 总结
[04:41.70]  这被 Google 称为SGE
[04:44.17]  这同时意味着
[04:45.10]  虽然搜索页面下方
[04:46.30]  仍然有竞价广告等链接
[04:48.30]  但它们的变现能力已经降低了
[04:51.10]  而且百度和谷歌流量更大
[04:53.23]  势必要付出更高的算力成本
[04:55.73]  进一步降低利润率
[04:57.80]  所以 AI 搜索自己还没赚到钱
[05:00.30]  但一定能大幅拉低
[05:01.96]  传统巨头的利润率
[05:03.60]  打出了一种
[05:04.40]  “我活不活无所谓 我只要你死”
[05:07.27]  的暴击感
[05:12.00]  如果事情只到这里结束
[05:13.43]  那我们也无所谓
[05:14.63]  毕竟它们赚多赚少也不带我们分
[05:16.90]  而且搜索体验还卷得更好了
[05:19.57]  但搜索生态的变化背后
[05:21.50]  还有更大的隐忧
[05:23.63]  搜索引擎不生产内容
[05:25.03]  只是内容的搬运工
[05:26.70]  它把你需要的内容传送给你
[05:28.63]  你进入网页
[05:29.50]  贡献流量和收益
[05:30.93]  三方各取所需 相互交换
[05:33.23]  这是搜索引擎对网络生态的价值
[05:36.50]  但在移动互联网诞生后
[05:38.03]  这个生态已经持续崩坏
[05:40.73]  我们几年前在视频中说
[05:42.23]  百度之所以要通过
[05:43.57]  百家号自产自销
[05:44.80]  原汤化原食
[05:46.20]  是因为互联网已经被各家 App
[05:48.20]  割裂成了一座座孤岛
[05:49.80]  拒绝自己的信息被搜索引擎爬取
[05:52.60]  而在 AI 时代
[05:53.90]  割裂感更强了
[05:55.63]  各家巨头都推出了自己的
[05:56.97]  豆包 点点 元宝
[05:58.53]  更不可能交出数据了
[06:00.57]  而普通的媒体和网站
[06:01.97]  至少此前还是欢迎搜索引擎的
[06:04.53]  这是非常重要的流量来源
[06:06.57]  但 AI 搜索不光剥夺了
[06:08.17]  这最后一点流量
[06:09.60]  甚至还让它们纯倒贴
[06:12.20]  2024 年
[06:12.97]  《纽约时报》起诉 OpenAI 和微软
[06:15.10]  认为对方抓取了大量内容
[06:17.00]  来训练 ChatGPT
[06:18.57]  甚至能逐字复述出报道内容
[06:20.93]  获取了大量利益
[06:22.23]  但一分钱都没付
[06:24.23]  在起诉之前
[06:25.17]  《纽约时报》已经在自家网站的
[06:26.83]  robots.txt 中屏蔽了 
[06:28.83]  OpenAI 的 GPTBot 爬虫
[06:31.10]  拒绝成为大模型的养料
[06:32.90]  在网站的服务条款中
[06:34.40]  也明确拒绝自己的数据
[06:36.00]  被用于 AI 训练
[06:37.70]  如今就算用户打开 
[06:39.03]  ChatGPT 的联网搜索
[06:40.33]  纽约时报也拒绝被搜索
[06:42.77]  其他很多网站
[06:43.73]  也被 AI 的白嫖行为烦得不行
[06:46.63]  比如自己动手拆过数码产品的人
[06:48.77]  应该都上过维修社区 iFixit 
[06:51.40]  参考上面极其详尽的拆解指南
[06:54.23]  2024 年 7 月
[06:55.50]  iFixit 的 CEO 直接开怼
[06:57.60]  说大模型 Claude 的爬虫
[06:59.53]  24 小时内疯狂访问了
[07:01.57]  100 万次服务器
[07:02.93]  一分钱不给就算了
[07:04.23]  还占用了大量资源 
[07:05.73]  不体面
[07:07.43]  这些都还算大网站
[07:09.03]  还有一些小网站
[07:09.93]  经不住大量 AI 爬虫的反复访问
