Title     : 通话免费，覆盖全球，直通月球！无线电玩到尽头有多强？【柴知道】
Video ID  : tkRFRNu-LEY
URL       : https://www.youtube.com/watch?v=tkRFRNu-LEY
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 316
Saved at  : 2026-06-05 13:37:24
------------------------------------------------------------

[05:22.70]  大约 400 千米高度的国际空间站
[05:25.90]  是的
[05:26.50]  国际空间站同样配备了无线电台
[05:28.98]  还特地公布了
[05:29.94]  跟业余无线电爱好者们通信的频段
[05:32.78]  一些国际空间站上的宇航员们
[05:34.70]  也是“火腿”
[05:35.86]  如果你计算好空间站的飞行路径
[05:37.90]  确保自己位于
[05:38.86]  空间站信号的覆盖范围内
[05:40.74]  那就可以给他们发送爱的信号
[05:46.66]  比如这位大哥
[05:47.50]  就在家门口拿一根八木天线
[05:49.58]  跟宇航员唠了几句
[05:51.34]  或许在不久的将来
[05:52.58]  咱们天宫空间站上宇航员们
[05:54.58]  也能跟大家通联了
[05:59.22]  除了直接聊天外
[06:00.42]  国际空间站的业余无线电
[06:02.14]  还会定期给地球上的火腿们
[06:04.34]  发图片玩
[06:05.62]  这就是业余无线电领域的
[06:06.98]  另一个玩法
[06:07.98]  SSTV 
[06:08.86]  “慢扫描电视”
[06:10.54]  原理并不复杂
[06:11.58]  一张图片上
[06:12.46]  每一个像素点的颜色
[06:13.94]  都可以转换为
[06:14.94]  红绿蓝三种颜色的亮度
[06:16.98]  那只要将每种颜色的亮度数据
[06:18.98]  编码成音频频率
[06:20.42]  转换成无线电波传输出来
[06:22.38]  由接收者解码
[06:23.58]  就能获得一个像素的色彩信息
[06:26.26]  所谓的“慢扫描电视”
[06:27.66]  就是把一张图片分解成
[06:29.34]  一行行像素
[06:30.34]  逐步传输过来
[06:31.70]  你听到的仿佛是杂声
[06:33.50]  但实际上是图片的声音
[06:35.58]  如果期间信号不好
[06:36.78]  或者受到干扰
[06:37.74]  那重建出的图片上
[06:39.02]  就会出现一行行的坏点
[06:41.26]  顺便一说
[06:42.02]  许老师告诉我们
[06:43.06]  一些玩 SSTV 的高手
[06:44.86]  可以通过自己发音的方式
[06:46.62]  传播一张纯色图
[06:49.02]  如果你也想玩一下 SSTV
[06:50.90]  那用手机装个 App 也行
[06:52.54]  原理都一样
[06:55.78]  更爱挑战极限的火腿
[06:57.22]  还能让无线电波离开地球
[06:59.30]  玩“月面反射通信”
[07:00.70]  简称 EME
[07:02.90]  当然
[07:03.54]  月球人不会搭理你
[07:06.22]  但月球会把这个信号反射回来
[07:08.34]  在大约 2.4-2.7S 后
[07:10.50]  你可以接收这个反射信号
[07:12.30]  听到自己的回声
[07:27.14]  EME 的难度就更高了
