Title     : 婚房到底归谁的？婚前婚后买、写不写名字，有什么影响？【柴知道：人生大题】
Video ID  : Hq-LPOBVsPY
URL       : https://www.youtube.com/watch?v=Hq-LPOBVsPY
Language  : Chinese (zh)
Generated : No (manually created)
[05:01.32]  其中一方享有居住权
[05:03.98]  那如果掏得出100万
[05:05.42]  但离婚时房价腰斩
[05:07.22]  那到底是按当年的买入价赔
[05:09.48]  还是按市场价赔
[05:11.68]  你猜猜
[05:13.92]  答案是
[05:14.88]  以实际市场价为准
[05:17.22]  跌了 拿房子的人就
[05:18.62]  少给对方一点补偿
[05:20.02]  涨了 就多给一点补偿
[05:22.52]  那如果房价狂跌
[05:24.12]  双方都不想要房
[05:25.28]  只想要钱呢
[05:27.12]  那就把房子卖了大家分钱
[05:29.12]  前提是有人接盘
[05:31.18]  总之 总有方法把房子分掉
[05:42.82]  第三种情况
[05:43.78]  父母资助买房 怎么算
[05:46.42]  巧了 这又是芭乐面临的情况
[05:49.38]  毕竟大家的买房钱是从哪里来的
[05:52.08]  心里多少都有点儿数吧
[05:54.95]  爸妈给子女购房的钱
[05:56.38]  在法律上一般都认定为“赠与”
[05:58.82]  至于受赠人是谁
[06:00.22]  那跟买房的时间有关
[06:02.08]  如果是在结婚前
[06:03.35]  那子女和父母属于一个紧密的整体
[06:06.28]  此时父母出资买房
[06:07.55]  会被认定为是对
[06:08.68]  自己子女个人的赠与
[06:10.58]  除非是明确表示赠与给双方
[06:13.18]  而等到结婚后
[06:14.42]  小夫妻二人的家庭
[06:15.78]  成了更紧密的整体
[06:17.48]  无论是哪方父母给钱
[06:19.12]  如果没有约定
[06:19.95]  那都算是对夫妻双方的赠与
[06:22.18]  都认定为夫妻共同财产
[06:24.68]  所以 Fight 3 的结局
[06:26.02]  会稍微复杂一些
[06:27.12]  你可以暂停一下找找自己的情况
[06:29.22]  对号入座
[06:35.32]  第四种情况
[06:36.35]  房产证加名字
[06:37.52]  离婚后怎么算
[06:39.28]  巧了
[06:39.98]  这又是芭乐要面临的情况
[06:42.42]  因为无论是婚前
[06:43.72]  在省会购置的全款房
[06:45.28]  还是假设中的上海房产
[06:47.28]  上面都只会有一方的名字
[06:49.72]  那如果一方要求在房产证上
[06:51.98]  加上自己名字
[06:53.28]  这又该怎么算呢
[06:55.32]  答案是
[06:56.08]  在房产证上加对方名字
[06:58.28]  在法律上也是一般
[06:59.75]  被理解为“赠与”
[07:01.32]  请谨慎操作
[07:02.42]  除非你真的超爱
[07:05.02]  比如芭乐在省会
[07:06.05]  这套婚前全款的房子
[07:07.92]  原本完全属于她的个人财产
[07:10.18]  如果婚后抵不住男友的撒娇
[07:12.08]  加上了他的名字
[07:13.15]  那就是把“个人财产”
[07:14.42]  变成了“共同财产”
[07:16.08]  假如未来闹离婚
[07:17.15]  协商不成的话
[07:18.38]  就算男友当年一分钱都没拿
[07:20.52]  那也有权要求分割
[07:22.88]  怎么样
[07:23.58]  各位富哥富姐
[07:24.98]  检验你跟 TA 是不是
[07:26.22]  真爱的时候到了
[07:29.18]  不过 夫妻共同财产
[07:30.55]  不代表是一人一半
[07:31.88]  分割时也不是简单地“平分”
[07:34.52]  比如这对 2020 年闹离婚的夫妻
[07:36.88]  就是男方在自己婚前
[07:38.55]  获得的拆迁房上加了女方的名字
[07:41.08]  变成了双方的共同财产
[07:43.12]  但考虑到实际出资 婚姻时长
[07:45.18]  有没有证据表明份额等等情况
[07:47.38]  最终男方多判得了一些产权
[07:49.78]  但女方也获得了 20% 的房款
[07:52.88]  当然 如果是婚后才买的房子
[07:54.98]  那加不加名字都无所谓了
[07:56.75]  因为不管房产证上写谁的名字
[07:58.95]  都属于共同财产
[08:08.82]  现在 我们来到了最后一种情况
[08:11.28]  婚前赠与
[08:12.42]  或者说“彩礼”怎么算
[08:15.28]  巧了 这种情况
[08:17.78]  其实芭乐不用面对
[08:20.32]  但为了科普
[08:21.12]  让我们来做个梦
[08:24.35]  假如柴司明天突然纳斯达克上市
[08:26.35]  芭乐升职加薪
[08:27.28]  套现 5000 万
[08:27.95]  走上人生巅峰
[08:29.22]  男友见状立刻百依百顺
[08:30.72]  用倾城倾国的颜值
[08:32.02]  魅惑得她欲仙欲死
[08:33.48]  让芭乐花 5000 万为他全款喜提一套
[08:35.95]  无敌黄浦江景南北通透内环大平层
[08:38.58]  并对灯发誓买完就跟她领证
[08:40.42]  对她好一辈子
[08:42.82]  果不其然
[08:44.35]  在办完手续第二天
[08:45.55]  男友换了门锁密码
[08:46.68]  拉黑了她的微信
[08:47.68]  扭头就去找别的姑娘了
[08:53.22]  他俩连婚都没结
[08:54.72]  根本谈不上什么财产分割
[08:56.72]  那么现在从法律上来说
[08:58.38]  这套写了别人名字的
[09:00.02]  上海内环大平层
[09:01.55]  就跟网上经常谈论的
[09:03.22]  “彩礼”一样
[09:04.28]  属于
[09:05.45]  赠与
[09:06.95]  怎么样
[09:08.12]  慌了吗
[09:09.82]  先别慌啊
[09:11.12]  这个赠与
[09:11.92]  属于“以结婚为生效条件的赠与行为”
[09:14.78]  而不是“无偿赠与”
[09:16.92]  那么既然婚没有结成
[09:18.42]  赠与行为也就失效了
[09:20.95]  “彩礼”可以讨回
[09:22.12]  芭乐也可以要求男友
[09:23.52]  把房子还给自己
[09:25.38]  所以 fight 5 的结局是
[09:27.75]  只要保留证据
[09:28.75]  坚定起诉
[09:29.92]  她还是有机会
[09:31.02]  讨回这虚拟的 5000 万的
[09:35.72]  当然 做这个梦得有点前提
[09:38.02]  让我们先祝柴司做大做强
