Title     : 医保DRG改革来了！它能让你安心看病吗？【柴知道】
[04:34.80]  似乎更容易出现这种情况
[04:36.80]  而大的三甲医院很少这么做
[04:39.36]  毕竟他们代表了一个地区的
[04:40.96]  最高医疗水平
[04:42.04]  不能再把病人往其他地方推了
[04:44.32]  从 2021 年开始
[04:45.76]  DRG 结算方式
[04:46.96]  在全国 30 个城市开始试行
[04:49.64]  在节省费用的同时
[04:50.92]  也确实有患者投诉类似的状况
[04:53.80]  在 2024 年 1 月
[04:55.00]  医保局专门发文
[04:56.40]  回应了这些问题
[04:57.56]  承诺要在未来改进
[04:59.08]  并在 4 月份的一场发布会上表示
[05:01.44]  从未出台过
[05:02.36]  “单次住院不超过 15 天”之类的
[05:04.36]  限制性规定
[05:05.88]  除此之外
[05:06.72]  严格的 DRG 控费
[05:08.04]  有可能会限制
[05:09.20]  医生的医疗选择
[05:10.92]  有时会出现
[05:12.08]  “保证了下限” 
[05:13.08]  “但影响了上限”的情况
[05:15.40]  比如有医生给我们介绍说
[05:17.16]  外科常用的一种手术机器人
[05:19.20]  效果不错
[05:19.92]  创伤小
[05:20.56]  手术时间短
[05:21.32]  预后好
[05:22.48]  但就是价格太贵
[05:24.00]  通常要4-6万
[05:25.52]  所以往往还是只能选择
[05:27.28]  传统的手术方式
[05:28.80]  或者干脆让患者
[05:30.00]  不走医保渠道
[05:30.96]  全自费选用
[05:32.72]  也有医生提到
[05:33.64]  给病人安排的检查
[05:35.12]  基本都是有必要的
[05:37.08]  但在控费严格的情况下
[05:38.72]  可能有一些本来应该做
[05:40.96]  但优先级相对没那么高的检查项目
[05:43.64]  就不做了
[05:45.24]  另外从纯医学的角度出发
[05:46.88]  DRG 的严格限制
[05:48.24]  也可能造成一些问题
[05:50.16]  因为疾病是非常复杂的问题
[05:52.52]  不是每一位患者都能按照
[05:54.12]  教科书上的规定来生病
[05:56.04]  不同患者的身体状况、
[05:57.36]  家庭情况
[05:58.00]  生活习惯各不相同
[05:59.76]  标准的治疗程序
[06:01.08]  针对的某一种具体的疾病
[06:03.64]  但不一定适合具体的患者
[06:05.76]  如果遇到一些病情复杂的患者
[06:07.72]  有时也得想想其他办法
[06:10.40]  这些情况
[06:11.16]  都需要更具体
[06:12.32]  细致的操作
[06:13.20]  才能解决
[06:15.00]  DRG 在全球都被广泛使用
[06:16.72]  它相对比较“粗放”
[06:18.04]  要求较多
[06:19.16]  而 DIP
[06:20.04]  就要精细得多
[06:21.83]  DIP 的全称是
[06:23.04]  “按病种分值付费”
[06:24.40]  算是中国独创的方案
[06:26.32]  它在具体的付费计算方式上
