Title     : 国行 iPhone 无线充电功率腰斩，到底是谁的锅？【柴知道】
[04:51.03]  也应该遵循 ITU 的规定
[04:53.13]  只是其他这些国家
[04:54.43]  暂时还没有出台相关的法规而已
[04:57.43]  但我们也不是唯一一个这么干的
[04:59.43]  南边的印度尼西亚也出台了法规
[05:01.53]  专门划分了一些
[05:02.63]  可用于无线充电的频段
[05:04.53]  其中同样不包括 360kHz
[05:07.73]  所以印尼用户们的新款 Apple Watch
[05:10.00]  跟我们一样
[05:10.77]  无线充电功率 也要被砍一刀
[05:14.20]  所以这事儿 要怪只能怪
[05:16.17]  WPC 和苹果
[05:17.63]  当年在规划 Qi2 协议的时候
[05:19.53]  直接用了 360kHz 的频率
[05:22.00]  本身就跟“国际电信联盟”
[05:23.60]  在第 3 区的规定冲突了
[05:25.80]  作为一家跨国商业巨头
[05:27.73]  苹果有自己的选择
[05:29.17]  但我们遵守 ITU 的规定
[05:31.20]  没问题
[05:32.77]  实际上 作为普通用户
[05:34.37]  新的无线充电管理规定
[05:35.93]  对我们的影响并不大
[05:37.83]  首先 国产厂商对 Qi2 协议
[05:40.17]  本来就没啥兴趣
[05:41.53]  因为它必须要用到这个磁铁环
[05:43.37]  跟第一代 Qi 协议之间
[05:44.83]  难以无缝升级
[05:46.40]  更重要的是
[05:47.17]  它最高只有 15W 的功率
[05:49.10]  实在是不够看
[05:50.30]  各位早就卷到规定上限的 80W 了
[05:52.80]  而且用的频率范围
[05:54.03]  也都在新规划分的频段内
[05:56.73]  所以目前除了苹果外
[05:57.97]  用 Qi2 协议的产品并不多
[05:59.70]  能不能用 360kHz 的工作频率
[06:01.97]  也就无所谓了
[06:03.53]  就算是苹果
[06:04.60]  一方面你其实也可以
[06:05.90]  用港版的充电器
[06:07.03]  目前还能实现 25W 的快充
[06:09.23]  因为无线电新规只限制
[06:11.05]  充电器的工作频率
[06:12.43]  所以你买到的 iPhone 硬件上
[06:14.15]  并没有缩水
[06:15.07]  只是无线充电板们被砍了一道
[06:17.62]  但这可能涉嫌违规
[06:19.50]  另一方面 如果不认真解决好
[06:21.76]  iPhone 的散热问题
[06:23.23]  那更高的无线充电功率
[06:24.80]  本来也坚持不了几分钟
[06:27.16]  没关系 3 分钟也很厉害啦
[06:29.66]  另一方面
[06:30.43]  你也不用担心手上的充电器不能用
[06:33.10]  因为初代 Qi 协议的工作频率
[06:34.86]  是在 87–205 kHz 的范围内
[06:37.63]  符合新规
[06:38.80]  而苹果和各家安卓厂商们
[06:40.69]  虽然都有自家的高功率私有协议
[06:43.16]  但也都同时兼容初代的 Qi 协议
[06:45.89]  这就像无论多么先进的有线充电器
[06:48.56]  最后都会有个 5V1A 来保底一样
[06:51.36]  无非是慢一点 用是都能用的
[06:54.83]  好了 以上就是分锅的结果
[06:56.86]  以及目前全球无线充电的“乱象”
[06:59.39]  其实还好
[07:00.23]  暂时没有像 C 口那么乱
[07:02.60]  最后 我们在翻看 WPC 和
[07:04.80]  我国的无线电管理新规时
[07:06.96]  意外发现
[07:07.83]  大家的“野心”其实都很大
[07:10.39]  比如我国的新规除了规定
[07:12.03]  便携无线充电器的工作频率外
[07:14.16]  还给电动汽车也规定了
[07:16.16]  无线充电的功率和工作频率
[07:18.43]  甚至连公交车和大卡车都包括在内
[07:21.60]  说不定未来电动汽车能边跑边充
[07:24.16]  再也不用有续航焦虑了
[07:26.36]  至于 WPC 还计划在今年年底
[07:28.80]  推出 Ki 无线充电协议
[07:30.60]  最高功率 2200W
[07:32.86]  这么高的功率当然不是为了手机
[07:35.10]  而是专门给电磁炉等厨房家电用的
[07:38.30]  届时如果你用上了
[07:40.03]  这么火热的电磁炉
[07:41.19]  请记住
[07:42.30]  一定要请我们去你家搓一顿呐
[07:45.26]  下期见
