Title     : 搜什么推什么！App 们是如何串通一气，组团追踪你的？【柴知道】
[04:45.77]  其他接入了阿里广告联盟的 app 上
[04:47.93]  可能也会出现狗粮广告
[04:50.05]  如果说“帐号”是软件
[04:52.00]  那“设备标识符”就是在
[04:53.60]  硬件层面锁定你
[04:55.20]  你可以把“设备标识符”理解成为
[04:57.23]  手机的身份证号
[04:58.80]  比如每台手机都有一个设备标识符
[05:00.88]  叫 IMEI
[05:02.40]  全球唯一 且不可修改
[05:04.30]  早期许多 Android app
[05:05.90]  会向用户索要“电话”权限
[05:08.27]  它并不是真的要打电话
[05:09.98]  而是为了获得这份 IMEI 码
[05:12.62]  有了它
[05:13.43]  不管你怎么切账号
[05:14.75]  只要没换手机
[05:15.78]  app 们就知道
[05:16.73]  你还是你
[05:17.68]  然后给你推广告
[05:19.35]  比如这些 app 中
[05:20.77]  都内置了字节跳动旗下广告平台
[05:22.77]  “穿山甲”的 SDK
[05:24.90]  这样
[05:25.43]  你在抖音 今日头条上的每一次划屏
[05:27.55]  收藏 点赞 等等行为
[05:29.70]  都会被收集 分析
[05:31.18]  并通过设备标识符标记
[05:33.48]  未来你再打开这些 app 时看到的广告
[05:35.95]  就可能就跟你以前点赞过的
[05:37.38]  某个短视频有关
[05:39.25]  可以说
[05:40.25]  在“Cookie + 帐号 + 设备标识符”的
[05:42.62]  全面掌控之下
[05:44.00]  在你“同意”《隐私政策》的那一刻起
[05:46.57]  想给你精准推广告简直太容易了
[05:49.30]  哪需要搞什么窃听啊
[05:51.55]  而且很多网站和 app
[05:53.20]  都加入了不止一个广告联盟
[05:55.27]  比如豆瓣就加入了腾讯 华为 淘宝
[05:58.20]  等多家巨头旗下的广告联盟
[06:00.02]  这些广告联盟又分别关联了
[06:02.23]  无数个其他网站
[06:03.60]  这就是你经常会觉得
[06:05.18]  自己被“跨软件追踪”了的原因
[06:08.10]  所以 没招了吗
[06:10.68]  还有一点点
[06:12.23]  在 Cookie 方面
[06:13.25]  从 2020 年开始
[06:14.70]  苹果的 Safari 浏览器
[06:16.07]  已经默认全面禁用第三方 Cookie
[06:18.65]  Google 的 Chrome 浏览器
[06:20.30]  也宣布在 2024 年下半年
[06:22.32]  禁用第三方 Cookie
[06:23.90]  其实现在很多浏览器都已经支持
[06:26.27]  “阻止第三方 Cookie”的功能
[06:27.95]  你可以留心设置一下
[06:29.45]  然后在“设备标识符”方面
[06:31.62]  在 iOS 6 和 Android 10 更新后
[06:34.02]  如今的 app 已经不能再合法获得
[06:36.23]  这串唯一的 IMEI 码了
[06:38.60]  取而代之的
[06:39.48]  是一串叫“广告标识符”的编码
[06:41.93]  它相当于一串“临时身份证”
[06:43.73]  需要的 app 可以自由获取
[06:45.73]  在短期内追踪和标记用户行为
[06:47.88]  但你也可以随时重置 重新做人
[06:51.18]  到了 2021 年
[06:52.32]  iOS 14.5 还默认直接关闭了
[06:55.07]  app 们获取广告标识符的权限
[06:57.30]  所以很多 iPhone 用户
[06:58.93]  在打开新的 app 时
[07:00.32]  会看到这样一个窗口
[07:02.12]  其实就是 app 在求你
[07:03.55]  帮它重新开启这个权限
[07:05.75]  我们不知道你怎么选的
[07:07.15]  反正我们自己是全关了
[07:09.35]  根据我国 2021 年推出的首部
[07:11.48]  《个人信息保护法》及相关规定
[07:14.02]  app 必须明确公开推荐算法的基本原理
[07:16.93]  以及具体收集了哪些信息
[07:19.40]  即便用户曾经同意了“个性化算法推荐”
[07:22.48]  也必须提供“便捷”的方式
[07:24.38]  让你能 4 步之内把它关闭
[07:26.80]  当然
[07:27.73]  这些手段并不能从根源上
[07:29.77]  避免厂商收集和分享你的个人信息
[07:32.65]  但确实多了一些限制
[07:34.73]  另外
[07:35.75]  你关闭的只是“个性算法推荐”
[07:38.15]  跟你个人行为直接相关的广告少了
[07:40.90]  但广告数量本身不会减少
[07:43.40]  毕竟广告是整个互联网的经济引擎之一
[07:46.80]  我们自己不也是天天盼着接广告么
[07:50.38]  最后
[07:51.20]  我们不想渲染恐慌
[07:52.62]  也不想惹麻烦
[07:53.70]  所以还是要诚实地讲
[07:55.70]  正规软件的信息收集都是合法的
[07:58.65]  他们尽管追踪了你的许多数据
[08:01.23]  但并不会直接把这个模糊的画像
[08:03.65]  对应到精确 具体的个人
[08:05.88]  也就是说
[08:06.60]  它们知道有个用户想买狗粮
[08:08.55]  但这个用户是陈某还是朱某
[08:10.93]  它不知道 也不在乎
[08:12.60]  更重要的是
[08:13.55]  法律不允许它知道
[08:15.40]  不知道这个事实
[08:16.73]  能不能让你稍微宽心一点
[08:18.70]  如果还是不能的话
[08:21.18]  那也没办法啦
[08:26.00]  要不然咱真的转行卖狗粮吧
[08:28.57]  海报我都做好了
