Title     : 2000的跑鞋比200的好吗？什么样的跑鞋最适合你？【柴知道】
[04:37.73]  根本不适合普通人
[04:39.73]  所谓“碳板”
[04:40.47]  就是鞋底里的一块
[04:41.77]  碳纤维复合材料板
[04:43.43]  在前脚掌发力时
[04:44.83]  碳板的后半部分会上翘
[04:46.73]  给脚掌一个推动力
[04:48.00]  减少大约4%的跑步能耗
[04:50.30]  它就类似于
[04:51.03]  泳池里的“鲨鱼皮”一样
[04:52.63]  是通过叠科技来提高成绩用的
[04:55.63]  碳板价格高 寿命短
[04:57.27]  像前段时间打破
[04:58.37]  纯女子马拉松记录的阿塞法
[05:00.37]  常穿好几千一双的
[05:01.67]  阿迪达斯 EVO 1
[05:03.37]  而它被官方宣称
[05:04.57]  只为“单场马拉松”设计
[05:06.07]  被称为“一次性跑鞋”
[05:08.27]  更重要的是
[05:09.07]  专业碳板鞋的回弹过强
[05:10.87]  鞋底更小
[05:12.00]  这都是通过牺牲稳定性
[05:13.63]  来换取速度
[05:14.97]  如果跑得不够快
[05:15.97]  那就会一直被碳板顶起脚跟
[05:18.20]  拉紧肌腱
[05:19.40]  脚底各个小关节都被锁定住
[05:21.20]  不能相对运动
[05:22.37]  只能靠踝关节周围的这些肌肉
[05:24.43]  韧带来维持稳定
[05:26.20]  如果脚力不够
[05:27.07]  那就会力线偏移
[05:28.53]  反而使不上力
[05:29.97]  还可能导致足底筋膜炎
[05:31.87]  甚至崴脚
[05:33.37]  所以一些小孩哥小孩姐
[05:34.83]  穿着碳板鞋
[05:35.87]  结果脚跟都沾不了地
[05:37.67]  根本驾驭不了
[05:39.87]  即使是为了体测
[05:41.07]  那穿一双普通 抓地力强的薄底跑鞋
[05:44.03]  也足够了
[05:45.67]  最后 跑步的好处我们就不多说了
[05:48.47]  如果你有兴趣买双跑鞋开跑的话
[05:50.43]  那我们总结了一个
[05:51.53]  简单的挑鞋思路
[05:52.77]  可以截图参考
[05:54.70]  如果你就是对跑步没兴趣
[05:56.17]  或者觉得太累
[05:57.53]  那玩别的运动也行
[05:59.47]  不过我有一个个人体会可以分享下
[06:02.17]  就是跑步时的大部分痛苦
[06:04.17]  都是因为跑得太快了
[06:05.87]  其实大部分人根本没必要关心快慢
[06:08.83]  只要跑得慢一点 再慢一点
[06:10.63]  慢到心肺都没什么压力
[06:12.47]  那一般能跑很久
[06:14.20]  不设定任何速度目标
[06:15.63]  不要给自己压力
[06:16.77]  才最容易迈开第一步
[06:18.73]  而跑步
[06:20.07]  也不光是跑步
[06:21.80]  最重要的
[06:22.87]  就是迈开第一步
[06:24.63]  下期见
[06:28.17]  今天提前半小时下班
[06:29.60]  一起强身健体
[06:30.73]  迈出第一步
[06:31.97]  好~~~
