Title     : 从“垃圾围城”到“垃圾荒”，垃圾分类还有意义吗？【柴知道】
Video ID  : pgiytzK7ymU
URL       : https://www.youtube.com/watch?v=pgiytzK7ymU
Language  : Chinese (zh)
Generated : No (manually created)
[04:34.92]  2020 年 各大城市的垃圾焚烧量
[04:37.36]  都已经足以覆盖
[04:38.56]  主城区的生活垃圾量
[04:40.24]  2021 年 浙江率先宣布
[04:42.20]  实现生活垃圾零填埋
[04:44.04]  进入“焚烧时代”
[04:45.92]  但直到这时
[04:46.92]  各地仍然有不少在建的项目
[04:49.16]  也就是说 垃圾焚烧
[04:51.52]  也产能过剩了
[04:53.32]  如今“国补”也开始调整
[04:54.80]  避免垃圾焚烧行业过速发展
[04:57.12]  不过这种过速发展的情况
[04:59.04]  主要集中在城市里
[05:01.12]  在很多农村地区
[05:02.28]  垃圾却进不到焚烧厂
[05:04.36]  在一些交通不便的地区
[05:05.80]  把垃圾运到县城的运输费
[05:07.72]  就远高于垃圾本身的处理费了
[05:10.40]  而且垃圾总量
[05:11.28]  也支撑不起一个焚烧厂
[05:12.76]  所以很多垃圾还是在本地
[05:14.76]  堆肥 掩埋 或者露天焚烧
[05:23.88]  讲到这里
[05:24.56]  垃圾不够烧的事儿差不多搞清楚了
[05:27.12]  但还有一个大家都很关心的问题
[05:30.24]  既然焚烧厂对垃圾如饥似渴
[05:32.16]  来者不拒 啥都想烧
[05:34.12]  那垃圾分类还有意义吗
[05:37.04]  如果单纯地从能不能烧的角度看
[05:39.48]  那答案是
[05:41.04]  能烧
[05:42.40]  确实 不管是可回收的 不可回收的
[05:44.96]  厨余垃圾 其他垃圾
[05:46.16]  干垃圾 湿垃圾
[05:47.44]  甚至是过期食品
[05:48.48]  假冒伪劣产品 毒品
[05:50.36]  通通都能扔进焚烧炉里
[05:51.88]  发光发热
[05:53.08]  发电
[05:54.24]  什么都能烧
[05:55.08]  得益于国产垃圾焚烧技术的进步
[05:57.80]  比如我国第一座
[05:58.96]  现代垃圾焚烧发电厂
[06:00.32]  是引入的日本三菱焚烧炉
[06:02.56]  众所周知
[06:03.32]  日本实行严格的垃圾分类
[06:05.20]  焚烧炉也是为热值高的垃圾设计的
[06:07.88]  来到中国后水土不服
[06:09.44]  经常因为垃圾热值太低出问题
[06:11.88]  需要提前分选
[06:13.44]  其他一些进口设备也一样
[06:15.72]  我们隔壁市有个发电厂
[06:17.52]  采购的德国设备
[06:18.60]  它就不适合国情
[06:20.00]  三天两头罢工
[06:21.44]  还得德国工程师上门
[06:22.76]  后来就倒闭了
[06:24.28]  我国家这个垃圾焚烧
[06:26.00]  从以前的进口设备
[06:27.48]  进口管理人员
[06:28.28]  到现在的转出口是国产化的设备
[06:30.64]  还有就是摸爬滚打这么多年的经验
[06:32.68]  每个流程都有相对应的要求
[06:34.76]  说到底
[06:35.44]  还是中国人最懂中国垃圾
[06:37.88]  随着技术进步
[06:39.08]  国产焚烧炉燃起来了
[06:42.20]  所以烧 确实都能烧
[06:44.44]  但这并不代表垃圾分类没有意义
[06:46.76]  因为能烧 不代表够燃
[06:49.00]  能发电 不代表只能发电
[06:51.40]  比如厨余垃圾里
[06:52.32]  分离出来的地沟油
[06:53.52]  是生物柴油的原料
[06:55.20]  废渣则能发酵成沼气
[06:56.92]  最后的残渣还能养虫子做饲料
[06:59.96]  而在分类后
[07:00.88]  干垃圾因为不和厨余垃圾混在一起
[07:03.20]  含水量可以下降 35%
[07:05.56]  明显更燃了
[07:07.44]  比如小德告诉我们
[07:08.56]  一般夏天混杂的湿垃圾更多
[07:11.00]  冬天的垃圾烧起来
[07:12.28]  比吃华莱士还顺畅
[07:13.80]  它冬天那种烧的垃圾
[07:15.08]  它明显的是顺畅点
[07:16.60]  就是说烧的垃圾也顺畅
[07:18.28]  产生的废物也顺畅 也处理得顺畅
[07:20.80]  所以从结果上来看
[07:22.12]  垃圾分类肯定比不分类好
[07:24.52]  它能将每种垃圾
[07:25.68]  敲骨吸髓 压榨干净
[07:28.16]  但还有一个尴尬的问题
[07:30.24]  很多人都说就算扔的时候分类了
[07:32.64]  最后也是被一辆垃圾车拉走
[07:34.96]  我住的小区好像就是这样
[07:37.12]  这是不是意味着分了也白分呢
[07:40.20]  嗯
[07:42.12]  如果真的是被垃圾车一车运走了
[07:44.40]  那它们并不会在焚烧站重新分开
[07:47.04]  在这里投入垃圾池的时候
[07:48.80]  就没再去细化分类了
[07:50.48]  它垃圾车过来的时候
[07:52.04]  直接投入垃圾池了
[07:53.68]  这主要是因为
[07:54.56]  目前各地厨余垃圾处理设施的数量
[07:57.24]  远远比不上焚烧厂的数量
[07:59.36]  厨余垃圾的相关产业
[08:00.60]  没有焚烧发电那么成熟
[08:02.20]  很多还是只能无害化 而不能资源化
[08:05.16]  即便是垃圾分类推行最严格的上海
[08:07.60]  也是在边走边探索
[08:09.64]  所以垃圾被混在一车拉走
[08:11.12]  也许并不是收垃圾的人不负责
[08:13.32]  而是后端的处理能力目前还跟不上
[08:16.04]  只能都烧了
[08:18.16]  等更多的厨余垃圾处理设施建设完成
[08:20.64]  我们的垃圾分类行动会更有意义
[08:23.92]  OK 讲到这里
[08:25.16]  垃圾为什么不够烧
[08:26.56]  以及垃圾分类的意义和缺憾
[08:28.72]  基本就了解清楚了
[08:30.28]  非常感谢这几位
[08:31.12]  给我们分享信息的朋友
[08:32.64]  没有他们的帮助
[08:33.60]  我们也搞不清楚里面的这么多门道
[08:36.16]  祝贵厂垃圾爆棚 生意兴隆
[08:39.28]  如果你觉得这期视频
[08:40.48]  让你对垃圾行业多了一分了解和
[08:44.04]  热爱
[08:45.20]  那欢迎一键三连支持我们
[08:47.28]  希望我们每个垃圾
[08:48.84]  都能跟真正的垃圾一样
[08:50.52]  逆袭上位 发光发热
[08:53.12]  燃起来啦
[08:54.88]  不知道为什么会缺垃圾
[08:56.36]  缺垃圾来我手机上找
[08:57.84]  里面全是垃圾
[08:58.88]  收都收不过来
[05:17.68]  这就是为什么
[05:18.52]  一边是缺垃圾的新闻
[05:20.24]  另一边又是垃圾堆满溶洞的新闻
