Title     : 暴打4K屏，CRT显示器玩老游戏居然显示效果更好？【柴知道】
[04:57.70]  针对 NTSC 制式开发的
[05:00.10]  在 NTSC 制式中
[05:01.50]  想要占满屏幕要 480 线左右
[05:04.30]  对应的视频信号的分辨率是 480i
[05:07.33]  这里的 i 代表隔行扫描
[05:09.30]  意思是视频的每一场
[05:10.73]  都只有一半的画面
[05:12.20]  到下一场中 再补全另一半的画面
[05:14.97]  这样利用视觉暂留的原理
[05:16.63]  同样能让你看到完整的画面
[05:19.03]  虽然每秒有 60 场
[05:20.20]  但是 2 场才能合成一幅画面
[05:22.57]  所以相当于是 30 帧
[05:24.27]  这也是为什么
[05:25.00]  你看到的 CRT 电视的画面
[05:26.73]  总有一种跳来跳去的闪烁感
[05:29.17]  因为它真的在跳
[05:30.90]  那如果开发者们直接做 480i 的游戏
[05:33.63]  那就会画面闪烁 且只有30帧
[05:36.00]  还需要很大的显存
[05:38.03]  所以很多老游戏开发者
[05:39.33]  选择制作 240P 的画面
[05:41.57]  只输出 240 行信号
[05:43.43]  当它们占满屏幕时
[05:45.10]  中间一条条横向的
[05:46.63]  没有内容的空行
[05:47.90]  这就是扫描线
[05:49.43]  这样一方面仍然能让人
[05:50.97]  脑补出完整的画面
[05:52.33]  另一方面节省了宝贵的的显存
[05:54.73]  同时让画面帧率提升到 60 帧
[05:57.10]  每一帧还都保持在固定的位置
[05:59.20]  不会闪烁
[06:00.57]  但如果把它们直接挪到现在的屏幕上
[06:02.97]  就会变成了一个高度 240 像素的
[06:05.33]  没有扫描线的画面 效果就不对了
[06:08.88]  除了扫描线 当年的游戏美术师们
[06:11.07]  还会做多适应性的图像设计
[06:13.54]  比如这样的半透明效果
[06:15.48]  你在街机 SFC MD PS1 的
[06:17.82]  240P 大作里
[06:18.98]  都能看到针对性的优化
[06:21.02]  但换了显示器就显示不出来了
[06:24.35]  硬件上能抗锯齿
[06:25.80]  有欺骗人脑的底纹
[06:27.48]  软件上有开发者们的优化
[06:29.32]  所以如果你手头有一些
[06:30.84]  240P 的老游戏 老游戏机
[06:33.02]  那确实跟
[06:33.96]  隔行扫描的 CRT 显示器更配
[06:37.23]  不过 我们并不想带货
[06:39.12]  想挑到合适的 CRT 显示器并不简单
[06:41.52]  它还极其笨重 早就被淘汰了
[06:44.23]  如果你真的对此有兴趣
[06:45.56]  那么可以去看看
[06:46.46]  UP 主 极限实践派的主页
[06:48.69]  他是一位 CRT 玩家
[06:50.02]  我们本期视频的很多素材都来源于他
[06:53.06]  很感谢他的授权
[06:55.02]  如果您想重温下 CRT 玩老游戏的感受
[06:57.73]  那我们更推荐你用现成的滤镜
[07:01.06]  比如在做这期视频的时候
[07:02.52]  我们搜到了 UP 主 脑浆油条
[07:04.46]  制作的免费的老游戏滤镜
[07:06.76]  在勾搭上之后
[07:07.76]  他给我们解释了很多
[07:09.09]  关于 CRT 显示器的原理问题
[07:10.93]  还帮我们审了稿 非常感谢
[07:13.26]  他开发的滤镜使用起来非常简单
[07:15.49]  安装上 RetroArch 模拟器
[07:17.66]  再把滤镜包拷贝到对应文件夹
[07:20.29]  就可以在你的屏幕中
[07:21.73]  模拟出 CRT 显示器的效果
[07:23.76]  惟妙惟肖
[07:24.52]  省得你再去折腾了
[07:26.23]  德古拉的美貌
[07:27.12]  和真正的 CRT 画面真伪难辨
[07:30.12]  我们带着滤镜打了一把魂斗罗
[07:32.29]  没错 就是当年的感觉
[07:34.29]  我们也
[07:35.93]  还是跟当年一样菜
[07:55.80]  这不是我的游戏机吗
