Title     : 明明白白买基金，清清楚楚亏大钱：10分钟基金入门指南【柴知道：人生大题】
Video ID  : r4I9aujFxEM
URL       : https://www.youtube.com/watch?v=r4I9aujFxEM
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 440
Saved at  : 2026-06-05 13:38:28
------------------------------------------------------------

[04:16.54]  整体走势相关
[04:18.21]  可以说
[04:18.94]  如果你买主动基金
[04:20.38]  就是在赌
[04:21.06]  背后操盘的基金经理的投资水准
[04:23.62]  相信他能跑赢市场
[04:26.18]  当然了
[04:26.86]  其实你也不认识他
[04:27.94]  既然是赌
[04:28.89]  那就可能输
[04:30.94]  像张坤 葛兰
[04:31.74]  这些明星基金经理
[04:32.89]  所管理的主动基金
[04:34.30]  之前都曾获得过
[04:35.21]  令人眼红的超额收益
[04:36.89]  吸引了无数年轻人入场
[04:38.81]  但如今
[04:39.54]  这些收益又还回去了
[04:41.98]  过往成绩不代表未来收益
[04:43.74]  如果你看到某位基金经理的
[04:45.25]  辉煌战绩就激情下单
[04:47.18]  就很可能像我一样买在最高点
[04:49.50]  根本看不到解套的希望
[04:52.33]  从长线来看
[04:53.30]  指数基金
[04:53.86]  可能比绝大多数基金经理
[04:55.38]  都更会赚钱
[04:56.69]  关于这一点最著名的故事是
[04:58.54]  2007 年
[04:59.25]  巴菲特发起了一个挑战
[05:00.62]  他让华尔街的基金经理
[05:01.94]  挑选一组主动基金组合
[05:03.74]  他自己买标普 500 指数
[05:05.57]  看十年后谁的收益更高
[05:07.50]  结果
[05:08.01]  到 2016 年底时
[05:09.25]  标普 500 的年复合收益率
[05:10.81]  就已经达到了 7.1%
[05:12.65]  远胜于主动基金组合的 2.2%
[05:15.38]  当然
[05:16.06]  这绝不意味着
[05:17.10]  闭眼买指数基金都能挣钱
[05:19.54]  还以我自己为例
[05:20.69]  我在 2020 年的高位
[05:22.13]  开始买沪深 300 指数基金
[05:24.13]  期间不断补仓
[05:25.33]  至今还亏损 10%
[05:27.10]  回本遥遥无期
[05:29.65]  以上这些内容
[05:30.57]  买了一些基金的朋友
[05:31.77]  可能已经比较了解了
[05:33.18]  但接下来这些
[05:34.06]  经常出现在基金产品里的英文字母
[05:36.86]  就算是买了几年基金的人
[05:38.81]  可能也不太清楚
[05:39.89]  它们是什么意思
[05:41.62]  在搜索基金的时候
[05:42.77]  你会在很多基金的名字后面
[05:44.65]  看到 QDII 的字母
[05:46.62]  它的全称有些拗口
[05:51.45]  你只要知道
[05:52.33]  你能通过它投资境外市场
[05:54.81]  比如这几年
[05:55.54]  你可能会听说
[05:56.42]  美国 日本 印度 越南股市
[05:58.54]  涨的都挺好
[05:59.82]  如果你想投资它们
[06:00.90]  就可以搜各类 QDII 基金
[06:09.69]  不过因为涉及到外汇额度等问题
[06:11.57]  很多 QDII 基金
[06:12.74]  会设置单日限购额度
[06:14.81]  如果你财力雄厚
[06:16.13]  就想多亏一点
[06:17.38]  那未必能过瘾
[06:20.30]  另一个常见的英文是 ETF 
[06:21.94]  它更复杂一些
[06:23.62]  刚才说过
[06:24.45]  你不开户
[06:25.18]  也可以直接在这些 app 里买基金
[06:27.38]  它们都叫“场外基金”
[06:29.33]  这里的“场”
[06:30.18]  就是交易所
[06:31.38]  有“场外基金”
[06:32.33]  自然就有“场内基金”
[06:34.01]  而 ETF 的全称是
[06:35.42]  “交易所交易基金”
[06:36.74]  它就是一种场内基金
[06:39.18]  场内基金
[06:39.89]  需要你专门去开一个
[06:41.21]  股票账户才能玩
[06:42.45]  它的交易更及时
[06:43.74]  价格跟股票一样实时变化
[06:45.94]  非常刺激
[06:47.30]  但弹幕里可能会问
[06:48.50]  啊那我没有去开股票账户
[06:50.30]  为啥也能直接买 ETF 呢
[06:52.30]  这是因为我们买的
[06:53.57]  仍然是场外的“联接”产品
[06:55.42]  跟普通基金基本一样
[06:56.98]  只是跟场内的 ETF 挂钩而已
[07:00.01]  除了QDII 和 ETF 之外
[07:01.81]  你偶尔能看到一些其他英文词
[07:04.21]  其中 LOF 
[07:04.98]  属于一种场内场外都能买的基金
[07:07.50]  而 FOF 叫“基金中的基金”
[07:09.69]  它相当于一个更大的篮子
[07:11.54]  里面装了很多支基金
[07:13.30]  属于一种“套娃式”操作
[07:15.06]  理论上能进一步分散风险
[07:16.98]  当然肯定还是有风险啊
[07:19.74]  还以我为例
[07:20.54]  我曾豪掷数千元
[07:21.94]  购入一支同学推荐的 FOF
[07:24.18]  目前小亏三分之一
[07:26.98]  好了
[07:27.62]  恭喜你
[07:28.45]  到目前为止
[07:29.30]  你已经基本
[07:30.10]  了解各种不同的基金
[07:31.54]  大概是怎么回事了
[07:33.18]  那么它们到底能帮你
[07:35.50]  亏多少钱呢
[07:37.21]  一支基金的涨跌
[07:38.25]  主要跟“基金净值”有关
[07:39.77]  所谓“基金净值”
[07:40.69]  就是把一个基金篮子里
[07:42.13]  所有投资品的总价格加起来
[07:44.25]  扣除它运作时产生的
[07:45.38]  手续费 借贷利息等
[07:46.89]  再除以发行的总份数
[07:48.69]  就是一支基金的净值
[07:50.86]  比如开头提到的
[07:51.77]  我买的这支网红基金
[07:53.30]  2021 年的净值
[07:54.57]  最高达到了 3.5 元
[07:56.13]  现在大约是 1.8 元
[07:57.57]  跌了差不多一半
[07:59.01]  但换个角度想
[08:00.06]  性价比更高了呢
[08:01.25]  好评
[08:02.98]  而除了净值以外
[08:04.13]  还有另一个指标
[08:05.10]  也会影响你的投资收益
[08:06.86]  费率
[08:08.10]  在场外买基金主要分三步
[08:09.98]  买入 持有和卖出
[08:12.42]  每一步都有摩擦成本
[08:14.21]  其中你买的时候
