Title     : 13 Scary Words  👻   | Useful Vocabulary Lesson
Video ID  : -UiyMsD1zHY
[09:18.14]  So the word chill means being cold.
[09:20.88]  And chilling is a sensation that you get that is fear mixed with being cold.
[09:27.36]  It's a physical reaction to fear.
[09:30.26]  When something is chilling, it's so frightening
[09:33.96]  that you feel it in your body, you feel this shiver or cold throughout your body.
[09:38.98]  It's chilling.
[09:47.32]  Okay, so we're done with our 13 words.
[09:49.94]  Now it's time to practice.
[09:54.78]  Are you scared?  Are you scared. Are you ready?
[09:57.68]  So for this practice, I want you to write a sentence about this picture right here.
[10:03.42]  Using one of the 13 words we learned today.
[10:07.54]  If you're feeling daring and not scared, you can use more than one.
[10:12.86]  I dare you. Don't be scared of the words.
[10:15.46]  They're beautiful. Words are your friends.
[10:17.54]  But please use them in a sentence. This will help you
[10:20.72]  practice and improve, and retain these words because
[10:24.14]  they're very, very, very, very, very, very, very useful words.
[10:27.90]  I also encourage you to read everyone else's sentences
[10:32.06]  because this will give you a better idea of how the words are used in different contexts.
[10:38.04]  So how was that? Are you scared?
[10:40.24]  I hope not. Don't be scared to share this video with all of your friends.
[10:44.98]  Thank you for watching, and I'll see you next time. Bye.
